date,time,merchant_raw,amount_chf,payer,category,moment
2024-06-30,19:13,Brasserie Lipp Zuerich 18.06.24 CARD*8830,70.36,Noemi,Dining,date_night
2024-06-30,20:54,KAUFLEUTEN ST GALLEN NR.5264,34.11,Bruno,Entertainment,date_night
2024-07-01,04:00,SPOTIFY,13.35,Bruno,Subscriptions,everyday
2024-07-01,16:05,AMAVITA APOTHEKE,35.78,Bruno,Health,everyday
2024-07-01,16:10,AIRBNB PAYMENTS WIEN,221.80,Noemi,Travel,trip
2024-07-01,16:31,MERCADO ARTESANAL,28.27,Noemi,Gifts,trip
2024-07-01,16:45,PARKHAUS HOHE PROMENADE,25.49,Noemi,Transport,everyday
2024-07-01,17:00,Denner,23.81,Noemi,Groceries,everyday
2024-07-01,18:32,COOP Winterthur 11.11.26,31.83,Bruno,Groceries,everyday
2024-07-01,19:06,OPERNHAUS ZUERICH TID 81516807,189.03,Bruno,Entertainment,date_night
2024-07-02,09:40,PASTELARIA BELEM 6279,6.72,Noemi,Cafes,trip
2024-07-02,12:35,BISTRO LE PETIT Wien STORE6467,47.87,Bruno,Dining,trip
2024-07-02,15:19,denner //Zuerich Wiedikon 20.02.26,28.58,Bruno,Groceries,everyday
2024-07-02,18:20,RESTAURANTE DO FADO WIEN 5614,36.81,Ada,Dining,trip
2024-07-02,20:05,HOTEL ADLER LUZERN CARD*4841,185.32,Ada,Travel,everyday
2024-07-02,21:13,Osteria Del Borgo,99.23,Noemi,Dining,trip
2024-07-03,06:33,Trenitalia //ATHEN FIL.8616,57.55,Bruno,Transport,trip
2024-07-03,15:37,BLUMENGALERIE SEEFELD WALLISELLEN,27.18,Ada,Gifts,gift
2024-07-03,18:44,Migros/ST GALLEN,24.97,Noemi,Groceries,trip
2024-07-03,19:56,OCEANARIO WIEN,30.73,Bruno,Entertainment,trip
2024-07-04,02:11,NZZ ABO STORE3796,38.40,Noemi,Subscriptions,everyday
2024-07-04,07:17,ZVV NR.5422,4.49,Ada,Transport,everyday
2024-07-04,12:43,TRATTORIA DA NINO STORE5387,39.66,Bruno,Dining,trip
2024-07-04,13:36,APOTHEKE ZUR ROSE CARD*9360,76.62,Noemi,Health,everyday
2024-07-04,14:51,PASTELARIA BELEM WIEN NR.3328 12.03.24,6.15,Ada,Cafes,trip
2024-07-04,15:01,OPTIKER KOCH //ZUERICH OERLIKON 07.10.24 CH,72.32,Ada,Health,everyday
2024-07-04,15:12,Cafe De Flore //ATHEN,22.11,Noemi,Cafes,trip
2024-07-04,15:29,BOOKING.COM,164.55,Ada,Travel,trip
2024-07-04,16:12,Migrolino BASEL 5358 CARD*3817,14.52,Bruno,Groceries,everyday
2024-07-04,16:37,Coop //Wallisellen,132.43,Ada,Groceries,everyday
2024-07-04,18:46,RESTAURANTE DO FADO,66.53,Ada,Dining,trip
2024-07-04,20:27,BRASSERIE GEORGES WIEN REF 17313300,78.65,Noemi,Dining,everyday
2024-07-05,08:25,DENNER ZUERICH 4316,32.58,Noemi,Groceries,everyday
2024-07-05,16:15,CAFE SPRUENGLI CARD*6533,8.85,Noemi,Cafes,everyday
2024-07-05,20:13,TRATTORIA DA NINO Athen,43.78,Noemi,Dining,trip
2024-07-05,21:44,CITY BIKE RENT,4.57,Ada,Transport,gift
2024-07-06,02:00,FITNESSPARK ABO,87.43,Bruno,Subscriptions,everyday
2024-07-06,02:07,ICLOUD 12.11.25,2.95,Ada,Subscriptions,everyday
2024-07-06,07:37,Black Sheep/BERN STORE5995,7.04,Bruno,Cafes,trip
2024-07-06,08:44,COOP WALLISELLEN TRX 2360790,43.99,Ada,Groceries,everyday
2024-07-06,11:11,migros/ZUERICH OERLIKON,99.70,Bruno,Groceries,everyday
2024-07-06,13:27,MICASA,56.26,Ada,Home,everyday
2024-07-06,14:52,KAUFLEUTEN 03.07.24,19.42,Ada,Entertainment,everyday
2024-07-06,19:21,RESTAURANT LINDE,113.24,Noemi,Dining,date_night
2024-07-07,15:44,BOHEMIA CAFE,11.25,Bruno,Cafes,everyday
2024-07-07,16:16,BOHEMIA CAFE 1010,12.37,Noemi,Cafes,everyday
2024-07-07,22:05,TECHNORAMA St Gallen STORE3224 16.06.26 CARD*7957,33.17,Ada,Entertainment,everyday
2024-07-08,02:40,swisscom NR.2554,79.40,Noemi,Subscriptions,everyday
2024-07-08,10:34,MIGROS ZURICH 11.01.26,11.24,Noemi,Groceries,date_night
2024-07-08,14:28,INTERFLORA STORE1195,55.04,Bruno,Gifts,gift
2024-07-08,15:16,Vbz Ticket ZH,1.81,Bruno,Transport,everyday
2024-07-08,18:04,jumbo //USTER 03.11.26,48.40,Ada,Home,everyday
2024-07-09,02:59,salt mobile,49.66,Ada,Subscriptions,everyday
2024-07-10,08:28,AMAVITA APOTHEKE ZUERICH 9608,32.13,Ada,Health,gift
2024-07-10,10:13,MIGROS //BASEL FIL.3480,45.20,Noemi,Groceries,everyday
2024-07-10,18:48,Burger King 2474,27.26,Bruno,Dining,everyday
2024-07-10,19:47,MIGROS MM ZUERICH HB //KLOTEN,18.75,Ada,Groceries,trip
2024-07-10,20:12,RESTAURANT ZUM GRUENEN GLAS ZUERICH TID 73728615,115.98,Bruno,Dining,date_night
2024-07-11,12:19,MIGROS ZUERICH WIEDIKON,24.87,Ada,Groceries,everyday
2024-07-11,17:54,Migros STORE4926,33.32,Noemi,Groceries,everyday
2024-07-11,19:49,Kebab House SCHLIEREN,20.96,Noemi,Dining,everyday
2024-07-11,21:13,Kino Arena,32.11,Bruno,Entertainment,everyday
2024-07-11,22:20,KINO ARENA //SCHLIEREN 5214 09.09.26,23.03,Ada,Entertainment,everyday
2024-07-12,07:23,UBER TRIP,23.83,Ada,Transport,everyday
2024-07-12,09:26,medbase TRX 32652696,202.22,Noemi,Health,everyday
2024-07-12,12:17,BRASSERIE LIPP ZUERICH,138.07,Ada,Dining,everyday
2024-07-12,17:22,CAFETERIA ETH,5.28,Ada,Cafes,everyday
2024-07-12,19:10,SHELL AUTOBAHN SCHLIEREN,32.67,Ada,Transport,everyday
2024-07-12,21:29,Le Dezaley 6818 TRX 18923737,84.10,Noemi,Dining,date_night
2024-07-13,09:01,LIDL SCHWEIZ,23.44,Bruno,Groceries,everyday
2024-07-13,14:16,COOP PRONTO Uster 26.07.25,17.43,Noemi,Groceries,everyday
2024-07-13,19:33,LIDL SCHWEIZ ZÜRICH,29.67,Bruno,Groceries,everyday
2024-07-13,20:12,Zeughauskeller 5075,124.43,Noemi,Dining,everyday
2024-07-13,20:19,KEBAB HOUSE/ZH CARD*8748 SUISSE,17.18,Bruno,Dining,everyday
2024-07-13,20:25,restaurant santa lucia TRX 67595040 SUISSE,41.17,Ada,Dining,trip
2024-07-14,06:00,Sbb Railaway,101.80,Noemi,Travel,trip
2024-07-14,12:52,KEBAB HOUSE SCHWEIZ,34.20,Bruno,Dining,everyday
2024-07-14,20:53,RESTAURANT ZUM GRUENEN GLAS BASEL 5382 NO. 12735137,30.28,Noemi,Dining,date_night
2024-07-15,06:47,SHELL AUTOBAHN,59.64,Ada,Transport,everyday
2024-07-15,07:20,ZVV THALWIL,2.85,Bruno,Transport,everyday
2024-07-15,08:53,Bp Tankstelle CARD*8524,64.89,Ada,Transport,everyday
2024-07-15,09:17,STARBUCKS CARD*2866,6.64,Noemi,Cafes,everyday
2024-07-15,10:02,PASTELARIA BELEM ROMA,4.63,Bruno,Cafes,trip
2024-07-15,10:14,FLIXBUS //ZH,25.25,Ada,Travel,trip
2024-07-15,12:20,PHYSIOTHERAPIE SEEFELD,51.58,Ada,Health,everyday
2024-07-15,15:14,pension maria STORE2971,209.71,Noemi,Travel,trip
2024-07-15,16:35,RENFE VIAJEROS ROMA,24.64,Noemi,Transport,trip
2024-07-16,07:31,MOEVENPICK CAFE,8.32,Ada,Cafes,everyday
2024-07-16,12:06,MIGROS,32.94,Bruno,Groceries,everyday
2024-07-16,12:59,MANOR //ZUERICH 08.10.25,142.45,Bruno,Gifts,gift
2024-07-16,14:55,GRAND CAFE ODEON KLOTEN,18.68,Bruno,Cafes,everyday
2024-07-16,17:08,Cafe Central ROMA,12.33,Bruno,Cafes,trip
2024-07-17,06:38,Metro Ticket //Roma 1220 24.09.26,4.74,Ada,Transport,trip
2024-07-17,09:01,STARBUCKS 03.12.26,13.84,Noemi,Cafes,everyday
2024-07-17,11:30,HOTEL ADLER STORE1823,154.25,Noemi,Travel,trip
2024-07-17,18:34,Bowling Center Heueried/THALWIL,43.52,Noemi,Entertainment,everyday
2024-07-17,20:49,GUIDED CITY TOUR/ROMA 28.08.25 TRX 38391542,37.86,Bruno,Entertainment,trip
2024-07-17,21:35,HOTEL ADLER,151.43,Noemi,Travel,trip
2024-07-18,07:57,cafeteria eth,5.33,Noemi,Cafes,trip
2024-07-18,10:57,JELMOLI Zuerich Oerlikon,116.65,Bruno,Gifts,gift
2024-07-18,11:07,ORELL FUESSLI,13.36,Bruno,Gifts,gift
2024-07-18,15:39,PASTELARIA BELEM //ROMA,13.99,Bruno,Cafes,trip
2024-07-18,17:40,coffee stop,6.40,Bruno,Cafes,everyday
2024-07-18,19:25,ZOO ZUERICH CARD*1937,28.89,Bruno,Entertainment,everyday
2024-07-19,12:19,OSTERIA DEL BORGO/ROMA STORE9855 09.12.25,57.72,Noemi,Dining,everyday
2024-07-19,14:10,TOPPHARM APOTHEKE WALLISELLEN,35.70,Noemi,Health,everyday
2024-07-19,18:21,AEROPORTO TAXI ROMA,24.54,Noemi,Transport,trip
2024-07-19,19:14,ZEUGHAUSKELLER 17.09.26,126.99,Noemi,Dining,date_night
2024-07-19,19:17,Le Dezaley FIL.2026 CH,52.51,Noemi,Dining,date_night
2024-07-19,19:36,MCDONALDS 05.08.24,52.38,Bruno,Dining,everyday
2024-07-19,21:41,Brasserie Georges,121.64,Bruno,Dining,trip
2024-07-19,22:26,Kaufleuten //BASEL,104.30,Noemi,Entertainment,date_night
2024-07-20,07:31,METRO TICKET //Wien 08.01.24,2.98,Bruno,Transport,trip
2024-07-20,09:47,Migros Mm Zuerich Hb //USTER 7226,59.21,Ada,Groceries,everyday
2024-07-20,13:32,sbb railaway,104.44,Bruno,Travel,trip
2024-07-20,20:01,RESTAURANTE DO FADO,44.44,Noemi,Dining,trip
2024-07-21,08:55,postauto ST GALLEN,9.18,Noemi,Transport,trip
2024-07-21,12:59,HOTEL BOAVISTA 02.08.26,151.75,Bruno,Travel,trip
2024-07-21,20:44,HOTEL BOAVISTA KD.NR 41896274,186.26,Bruno,Travel,trip
2024-07-21,21:22,Oceanario MAILAND STORE1140 26.01.25,14.37,Noemi,Entertainment,trip
2024-07-22,10:01,MIGROS,65.81,Noemi,Groceries,everyday
2024-07-22,11:58,BRASSERIE GEORGES 10.02.26,94.57,Ada,Dining,trip
2024-07-22,12:35,Micasa TRX 99731195,126.53,Ada,Home,everyday
2024-07-22,16:59,Bäckerei Hug/LUZERN,2.94,Noemi,Groceries,gift
2024-07-22,17:36,Cafeteria Eth //DIETIKON 26.07.26,7.76,Noemi,Cafes,everyday
2024-07-22,17:54,MIGROS MM ZUERICH HB ZUERICH OERLIKON,19.85,Ada,Groceries,everyday
2024-07-22,18:16,ikea dietlikon 9426 06.01.25,138.09,Noemi,Home,everyday
2024-07-22,18:21,zeughauskeller FIL.841,81.22,Noemi,Dining,gift
2024-07-22,18:59,TAVERNA MYKONOS //WIEN 02.06.25,29.86,Bruno,Dining,trip
2024-07-22,19:53,Airbnb Payments/MAILAND,114.83,Ada,Travel,trip
2024-07-22,20:13,TAVERNA MYKONOS,82.42,Noemi,Dining,trip
2024-07-22,21:23,Trattoria Da Nino //WIEN REF 27779359,47.07,Bruno,Dining,trip
2024-07-23,06:19,Hotel De La Paix 16.06.24,597.86,Noemi,Travel,trip
2024-07-23,08:18,SBB CFF FFS NO. 41787838,38.43,Noemi,Transport,everyday
2024-07-23,11:09,SOUVENIR SHOP MAILAND TID 53286115,11.41,Bruno,Gifts,trip
2024-07-23,13:33,bistro le petit,54.71,Noemi,Dining,trip
2024-07-23,17:28,VICAFE //WALLISELLEN,5.24,Noemi,Cafes,everyday
2024-07-23,22:15,guided city tour,48.96,Bruno,Entertainment,trip
2024-07-24,08:57,CAFE BÄCKEREI ZEIT/KLOTEN,17.74,Ada,Cafes,everyday
2024-07-24,10:36,MIGROLINO,6.57,Ada,Groceries,everyday
2024-07-24,12:58,Brasserie Georges Wien 9989,130.82,Noemi,Dining,everyday
2024-07-24,13:01,Easyjet 23.02.26,49.18,Ada,Travel,trip
2024-07-24,13:12,BISTRO LE PETIT MAILAND,35.00,Bruno,Dining,trip
2024-07-24,18:46,UBER TRIP Zürich NR.8571,10.80,Bruno,Transport,everyday
2024-07-24,19:24,Migros/ZUERICH WIEDIKON 10.03.26,57.36,Noemi,Groceries,everyday
2024-07-24,20:18,Trattoria Da Nino MAILAND,48.52,Noemi,Dining,trip
2024-07-25,08:33,COFFEE STOP WINTERTHUR,7.14,Bruno,Cafes,everyday
2024-07-25,08:36,METRO TICKET,5.28,Bruno,Transport,trip
2024-07-25,09:26,Starbucks,3.66,Ada,Cafes,everyday
2024-07-25,10:46,HOTEL DE LA PAIX Mailand,282.81,Bruno,Travel,trip
2024-07-25,13:22,SCHAUSPIELHAUS,82.94,Bruno,Entertainment,everyday
2024-07-25,13:26,CAFETERIA ETH BASEL,7.43,Ada,Cafes,everyday
2024-07-25,18:06,GLOBUS 28.05.26,108.41,Bruno,Gifts,gift
2024-07-25,18:30,MUSEU NACIONAL,89.15,Noemi,Entertainment,trip
2024-07-25,19:08,SWISS INTERNATIONAL AIR LINES 3071,223.93,Ada,Travel,trip
2024-07-25,21:56,HOTEL DE LA PAIX NR.7929 08.04.25,725.17,Bruno,Travel,trip
2024-07-26,07:24,BLACK SHEEP //KLOTEN,6.63,Bruno,Cafes,everyday
2024-07-26,08:11,Vbz Ticket ZUERICH OERLIKON,2.57,Ada,Transport,everyday
2024-07-26,08:34,UBER TRIP Winterthur,17.95,Bruno,Transport,trip
2024-07-26,08:35,CAFE CENTRAL,10.34,Bruno,Cafes,everyday
2024-07-26,12:32,Restaurante Do Fado FIL.4152,33.58,Ada,Dining,trip
2024-07-26,12:55,Hiltl KLOTEN,40.06,Ada,Dining,everyday
2024-07-26,15:15,COOP,28.49,Noemi,Groceries,everyday
2024-07-26,15:17,Migros,57.67,Ada,Groceries,everyday
2024-07-26,18:35,JELMOLI,106.16,Ada,Gifts,gift
2024-07-26,19:57,TRATTORIA DA NINO MAILAND,41.12,Bruno,Dining,trip
2024-07-26,20:00,restaurant blaue ente WALLISELLEN 03.09.24,98.83,Bruno,Dining,date_night
2024-07-27,10:03,CAFE BÄCKEREI ZEIT STORE789,6.94,Bruno,Cafes,everyday
2024-07-27,13:55,bowling center heueried NR.6091 TID 19372849,39.89,Noemi,Entertainment,everyday
2024-07-27,16:41,migros WALLISELLEN 01.09.24,13.14,Bruno,Groceries,everyday
2024-07-27,17:06,manor,87.88,Noemi,Gifts,gift
2024-07-27,18:59,Coop Pronto,41.19,Ada,Groceries,everyday
2024-07-27,19:58,Bowling Center Heueried,23.14,Noemi,Entertainment,everyday
2024-07-27,20:47,HOTEL DE LA PAIX/MAILAND 19.11.25,350.25,Noemi,Travel,trip
2024-07-27,20:49,Kebab House,30.64,Bruno,Dining,everyday
2024-07-28,16:51,BOHEMIA CAFE/ZÜRICH CARD*9709,11.43,Bruno,Cafes,trip
2024-07-29,08:30,moevenpick cafe/SCHLIEREN FIL.2630,14.13,Ada,Cafes,everyday
2024-07-29,11:00,EASYJET //ZURICH,169.39,Noemi,Travel,trip
2024-07-29,19:33,DENNER,12.86,Bruno,Groceries,everyday
2024-07-31,13:44,Migros Mm Zuerich Hb,26.27,Noemi,Groceries,everyday
2024-07-31,16:03,MIGROS,31.73,Ada,Groceries,everyday
2024-07-31,19:03,MIGROS,9.84,Bruno,Groceries,everyday
2024-07-31,19:36,COOP SCHWEIZ,41.80,Noemi,Groceries,everyday
2024-08-01,03:51,SPOTIFY,13.02,Bruno,Subscriptions,everyday
2024-08-01,13:21,TOPPHARM APOTHEKE,44.19,Noemi,Health,everyday
2024-08-01,15:00,LIDL SCHWEIZ,50.82,Noemi,Groceries,everyday
2024-08-02,11:41,hiltl BASEL NR.5883,16.58,Noemi,Dining,everyday
2024-08-02,15:54,interflora,55.41,Bruno,Gifts,everyday
2024-08-02,16:05,Migros Mm Zuerich Hb,37.39,Noemi,Groceries,trip
2024-08-02,17:01,Bp Tankstelle ZH 18.09.25,46.15,Ada,Transport,everyday
2024-08-02,19:29,NOOCH ASIAN KITCHEN,73.07,Bruno,Dining,date_night
2024-08-02,22:29,HALLENSTADION CARD*2286,79.61,Ada,Entertainment,date_night
2024-08-03,13:17,VICAFE 15.08.25,4.81,Bruno,Cafes,everyday
2024-08-03,17:11,Moevenpick Cafe,14.35,Noemi,Cafes,everyday
2024-08-04,03:46,NZZ ABO 6383 KD.NR 21369399,39.20,Bruno,Subscriptions,everyday
2024-08-04,04:53,DISNEY PLUS 16.09.26,15.98,Bruno,Subscriptions,everyday
2024-08-04,07:10,SWISS TRAVEL CARD*7364,171.67,Bruno,Travel,trip
2024-08-05,10:09,DENNER,15.55,Noemi,Groceries,everyday
2024-08-05,13:37,MIGROS MM ZUERICH HB ZH,29.00,Noemi,Groceries,everyday
2024-08-05,20:50,RESTAURANT SANTA LUCIA LUZERN,55.49,Bruno,Dining,date_night
2024-08-06,02:52,Icloud 15.08.24,2.93,Ada,Subscriptions,everyday
2024-08-06,05:47,FITNESSPARK ABO 2399,88.38,Bruno,Subscriptions,everyday
2024-08-06,16:07,STARBUCKS,8.05,Noemi,Cafes,everyday
2024-08-07,13:03,MANOR DIETIKON,35.93,Noemi,Gifts,gift
2024-08-07,13:26,COFFEE STOP ZH CARD*8445,10.26,Bruno,Cafes,everyday
2024-08-07,13:30,NOOCH ASIAN KITCHEN,18.48,Noemi,Dining,everyday
2024-08-07,20:06,MCDONALDS Schlieren NR.3745,9.51,Noemi,Dining,everyday
2024-08-08,03:39,swisscom,80.55,Noemi,Subscriptions,everyday
2024-08-08,08:17,Sbb Railaway ZUERICH WIEDIKON,68.85,Bruno,Travel,trip
2024-08-08,10:00,Migros STORE5054 SUISSE,12.66,Bruno,Groceries,everyday
2024-08-08,12:53,SBB CFF FFS Zuerich Oerlikon STORE9563,25.66,Ada,Transport,everyday
2024-08-08,13:10,orell fuessli ZH,25.38,Noemi,Gifts,gift
2024-08-08,15:29,DR MED HUBER PRAXIS ST GALLEN,109.66,Bruno,Health,everyday
2024-08-09,02:14,SALT MOBILE 9347,50.61,Bruno,Subscriptions,everyday
2024-08-09,08:52,ZAHNARZT ZENTRUM OERLIKON/BERN 1677,597.82,Ada,Health,everyday
2024-08-09,09:04,Vbz Ticket NR.6700,4.02,Ada,Transport,everyday
2024-08-09,09:05,MARKTHALLE BASEL 11.05.26,13.66,Noemi,Groceries,everyday
2024-08-09,09:08,COOP 19.11.24,36.83,Noemi,Groceries,everyday
2024-08-09,12:07,Restaurant Zum Gruenen Glas //WALLISELLEN 10.10.26,143.25,Ada,Dining,everyday
2024-08-09,12:26,PIZZERIA DA MICHELE WALLISELLEN KD.NR 29479537,33.00,Noemi,Dining,everyday
2024-08-09,12:28,KEBAB HOUSE,13.50,Bruno,Dining,everyday
2024-08-09,16:23,ZVV ZUERICH OERLIKON 6147,5.30,Bruno,Transport,everyday
2024-08-10,08:53,airbnb payments,211.30,Bruno,Travel,trip
2024-08-10,19:13,MIGROS MM ZUERICH HB CARD*2229,38.11,Noemi,Groceries,everyday
2024-08-11,02:32,SERAFE,112.42,Noemi,Subscriptions,everyday
2024-08-11,06:52,BOOKING.COM 07.06.25,620.03,Ada,Travel,trip
2024-08-11,08:21,Swiss Travel ZUERICH 818 CH,155.49,Bruno,Travel,trip
2024-08-11,08:51,COFFEE STOP SCHLIEREN,5.21,Noemi,Cafes,everyday
2024-08-11,12:02,SBB CFF FFS,23.98,Noemi,Transport,everyday
2024-08-11,12:04,INTERFLORA,38.53,Noemi,Gifts,gift
2024-08-11,21:16,HALLENSTADION USTER NR.9192,113.47,Noemi,Entertainment,date_night
2024-08-12,07:16,POSTAUTO //LUZERN TRX 27164998,2.96,Bruno,Transport,everyday
2024-08-12,13:37,Ikea Dietlikon STORE7117 17.05.24 NO. 58036591 CARD*1999,81.18,Noemi,Home,everyday
2024-08-12,15:17,Opernhaus Zuerich DIETIKON,235.93,Noemi,Entertainment,everyday
2024-08-12,18:28,CAFETERIA ETH //ZUERICH OERLIKON,8.50,Ada,Cafes,everyday
2024-08-12,20:39,RESTAURANT BLAUE ENTE,117.39,Noemi,Dining,date_night
2024-08-13,09:06,CAFE BÄCKEREI ZEIT SCHLIEREN,6.02,Bruno,Cafes,everyday
2024-08-13,09:58,BOOKING.COM 04.08.25,294.91,Noemi,Travel,trip
2024-08-13,13:25,HOTEL BELLEVUE/Winterthur,171.85,Noemi,Travel,trip
2024-08-13,18:00,coop pronto BASEL,18.34,Noemi,Groceries,everyday
2024-08-14,12:05,JELMOLI/WALLISELLEN,93.84,Bruno,Gifts,gift
2024-08-14,13:04,Taverna Mykonos Paris,48.38,Bruno,Dining,trip
2024-08-14,13:06,UBER TRIP Kloten 1360 REF 30438484,94.85,Ada,Transport,everyday
2024-08-14,13:53,PASTELARIA BELEM //PARIS,8.66,Bruno,Cafes,trip
2024-08-14,17:47,Cafe Central Paris NR.8586,8.89,Bruno,Cafes,trip
2024-08-14,20:39,BOOKING.COM 11.07.25 TID 82451651,113.35,Ada,Travel,trip
2024-08-15,10:22,VICAFE,5.33,Ada,Cafes,everyday
2024-08-15,10:24,Pfister Moebel //ZUERICH WIEDIKON,79.41,Bruno,Home,everyday
2024-08-15,12:39,BISTRO LE PETIT Paris NR.9264,41.27,Ada,Dining,trip
2024-08-15,14:11,Migrolino //Thalwil,8.83,Ada,Groceries,everyday
2024-08-15,14:22,GUIDED CITY TOUR,82.83,Noemi,Entertainment,trip
2024-08-15,15:37,Souvenir Shop/PRAG CZ,43.23,Noemi,Gifts,trip
2024-08-15,16:05,COOP 07.09.24,27.16,Ada,Groceries,everyday
2024-08-15,16:21,METRO TICKET PARIS SUISSE,12.09,Ada,Transport,trip
2024-08-15,17:00,ZVV 25.10.25 TRX 99632445 CH,15.11,Bruno,Transport,everyday
